config,n_seeds,V_MAE_mean,V_MAE_std,V_PCC_mean,V_PCC_std,A_MAE_mean,A_MAE_std,A_PCC_mean,A_PCC_std
uniform,3,0.47798445322793154,0.010696576710384853,0.8159478626018792,0.006715935436694933,0.8379022397891962,0.01424180171136276,0.6058447687519664,0.012566771681983618
mild,3,0.47680553359683797,0.009708310798866577,0.8154920579081241,0.008101342785134809,0.8331321475625825,0.01527013947264485,0.6092778044469573,0.014353359579423606
current,3,0.4754227931488801,0.010188729827143816,0.8159019736671967,0.00946113317224701,0.8297330698287221,0.017390898271998887,0.6124607004648078,0.015748726674347242
reflection_swap,3,0.47571317523056655,0.008226488986845205,0.8167818537452147,0.00873206624254504,0.8302994729907773,0.014293464675301239,0.6109511208791693,0.014947698208036691
