config,seed,delta_V_MAE_vs_uniform,delta_V_PCC_vs_uniform,delta_A_MAE_vs_uniform,delta_A_PCC_vs_uniform
mild,1,-0.0018347826086956842,-0.002041762040216555,-0.0035584980237154396,0.00134785216427602
mild,2,-0.0026766798418972337,8.431532656016927e-05,-0.005928458498023592,0.004310644778587669
mild,42,0.0009747035573121621,0.000590032632391102,-0.004823320158102606,0.004640610142109369
current,1,-0.002616600790513901,-0.0030173455208932776,-0.0045118577075099475,0.0029069906704140003
current,2,-0.004602766798419089,0.00048023449946432706,-0.010396442687746865,0.008175019614211632
current,42,-0.0004656126482213696,0.0023994442173815855,-0.009599209486165883,0.008765784853899006
reflection_swap,1,-0.004522529644268802,-0.0013341914544189315,-0.007613043478260972,0.0025147110807806072
reflection_swap,2,-0.003900790513834018,0.0011775701493130786,-0.009953359683794294,0.007616795873082172
reflection_swap,42,0.001609486166007923,0.0026585947351125405,-0.0052418972332014535,0.005187549427745797
